ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
723,531,02/06/2022,Champagne Society,"3-3,5/5",,,,,,,
724,531,23/11/2022,Champagne Society Bu:r,"3-3,5/5",,,,,,,
725,532,26/11/2022,Arnolfo,"3-3,5/5",,,,,,,
726,533,13/03/2023,Union Gens de Metiers - Milano,4/5,,,,"Il miglior Initial bevuto ad oggi, secondo Thommy è la mano del figlio Guillelme che darà una nuova spinta",,,
727,534,15/10/2023,Champagne Society - Rubiera,"4,5-5/5",dorato,"frutta bianca, agrume, pasticceria","fresco e sapido, con un agrume che spacca e nota di frutta secca, bolla fragrante ed elegante",grande e meraviglioso,,,
728,534,24/10/2023,Confine - Champagne Society,"4,5-5/5",,,,,,,
729,535,07/09/2023,Selosse - Champagne Society,4/5,paglierino,"frutta bianca, banana, anche candita e agrume tipico selosse, minerale, crosta di pane e pasticceria, anche sentore di smalto. Molto complesso","fresco e sapido, con bolla frizzantina,","degorgemant 05/2023 bevuto in cantina a 20gradi, 2014/15/16 Initial è da vigne in pianura rispetto a V.O. che è coteau.",,,
730,536,18/05/2023,Tour Champagne Society - Les Avises,"4,5-5/5",dorato,"frutta candita bianca, Agrume, , frutta bianca, caldo alcolico, floreale, poi arriva burro, pasticceria e crema chantilly","fresco d’agrume, leggera sapidità, bolla di struttura ma delicata ed elegante, leggero amaricante,","cosa dire di fronte alla grandezza: sempre, sempre e ancora sempre!",,,
731,536,26/07/2023,Ristorante Cavallino Maranello - Champagne Society,"4,5-5/5",dorato,"complesso, agrumato e fruttato con una pasticceria di alta qualità","fresco, agrume, sapido ma complesso grande bevibilità",il mio preferito! E tale rimane,,,
732,536,17/12/2023,Champagne Society - Rubiera,"4,5-5/5",paglierino con riflessi dorati,"frutta candita, agrume e panettone","fresco e sapido, bolla potente ed elegante, lungo",si conferma ad ogni bevuta!!!,,,
733,537,10/04/2024,Champagne Society - Confine,"4-4,5/5","dorato, bolla fine","complesso, frutta bianca anche matura, pasticceria, burro, ossigenando tono di zenzero e incenso","fresco e sapido, complessità aromatica, lungo e citrino, bella bevibilità","vino complesso, da meditazione ma anche da tavola e da aperitivo",,,
734,538,23/03/2024,Champagne Society - Le Wine Bar - Reims,4/5,,"agrume rosso, frutta bianca, forte marcatura del legno","fresco e sapido, punta dolce marcata","sarà che è in fondo alla line up, sarà che obiettivamente oramai guiome ama troppo la Borgogna ma non è più quel vino lì",,,
735,539,21/03/2024,Tour Champagne Society - Selosse cantina,"4,5/5",giallo dorato,"complesso, frutta bianca da fresca a matura, floreale e minerale, pasticceria e miele, pani o chocolat","fresco e sapido, complessità gustativa e muscolatura","base 17 deg 10/23. Grande, tra il mio gota degli champagne",,,
736,540,18/12/2024,Nicola Gatta,"4-4,5/5",,,,,,,
737,541,02/06/2022,Champagne Society,3/5,,,,,,,
738,542,23/11/2022,Champagne Society Bu:r,3/5,,,,,,,
739,543,10/04/2024,Champagne Society - Confine,4/5,dorato e bolla fine,"minerale, gessoso, agrume e frutti bianchi, burro, pasticceria, nota balsamica con ossigenazione","fresco e sapido, bello dritto da craie, bevibilità ottima","molto meglio di altre degustazioni, una lama",,,
740,544,07/09/2023,Selosse - Champagne Society,4/5,giallo paglierino carico,"frutta bianca candita, più evoluto ed equilibrato (forse per i 4 mesi di degorgemant e perché la vigna in coteau sulla craie conta) bella pasticceria","bel l’equilibrio tra freschezza e sapidità, con bolla vivacemente delicata. Ottima persistenza.",degorgiato 02/2023.,,,
741,545,21/03/2024,Champagne Society - Selosse cantina,"3,5/5",paglierino carico,fumè e complesso dalla frutta bianca alla pasticceria,"freschezza e sapidità c’è ma non molto accentuata, gusto fumè anche al palato",un calice ma non di più,,,
742,546,02/06/2022,Champagne Society,"4,5/5",,,,,,,
743,546,23/11/2022,Champagne Society Bu:r,"4,5/5",,,,,,,
744,546,13/03/2023,Union Gens de Metiers - Milano,"4,5/5",,,,"stupendo avere la possibilità di riberlo, è Selosse nel profondo, il suo manifesto. Curioso di bere le prossime annate sviluppate da Guillelme",,,
745,547,07/09/2023,Selosse - Champagne Society,"4-4,5/5",paglierino carico,note evolutive di frutta bianca candita e agrume. Crosta di pane,fresco e sapido di grande equilibrio. Struttura e persistenza,grande vino ma sembra di essere banalmente ripetitivo sulla gamma di selosse,,,
746,547,10/04/2024,Champagne Society - Confine,"4-4,5/5","dorato, bolla fine ed elegante","complessità ampia e profonda, agrume e frutta bianca, nota balsamica e di fiore bianco e giallo, burro e pasticceria elaborata, nota di panettone, miele, nocciola","fresco e sapido, lungo, di struttura ampia, bella citricità, nota leggermente amara ma che non disturba, anzi","grande complessità, sicuramente data anche dalla perpetuelle",,,
747,548,21/03/2024,Champagne Society - Selosse cantina,4/5,giallo dorato,"agrume, frutta bianca, minerali ta, gesso, pasticceria","fresco e sapido, molto, di corpo, lungo, mandorla e leggero amaricante","molto buono, potente ma preferisco Initial. Base 17 deg 10/23",,,
748,549,15/10/2023,Rubiera - Champagne Society,"3,5-4/5",giallo dorato,"miele, cremoso copre la frutta",fresco e sapido ma,"grande complessità data della perpeturlelle, troppo opulento, oramai Initial gli dà la paga. Ne bevi un bicchiere ma finisce lì",,,
749,550,15/03/2022,Champagne Society (Rubiera),4/5,,,,,,,
750,551,02/06/2022,Champagne Society,"4,5/5",,,,,,,
751,551,23/11/2022,Champagne Society Bu:r,"4,5/5",,,,,,,
752,552,15/03/2022,Champagne Society (Rubiera),4/5,,,,,,,
753,553,02/06/2022,Champagne Society,4/5,,,,,,,
754,554,23/11/2022,Champagne Society Bu:r,4/5,,,,,,,
755,555,10/04/2024,Champagne Society - Confine,"4,5/5",rosa cipolla,"agrume, frutta bianca e frutta rossa di fragola e fragolina, burro e pasticceria delicata, bella complessità","fresco e sapido, bell’agrume che dà salivazione, bellissima beva","11/2022 bellissimo rosè, di bella struttura",,,
756,556,07/09/2023,Selosse - Champagne Society,"4,5/5",rosa tenue,"frutta bianca matura e rossa fragola e ciliegia, pasticceria e burro","di grande equilibrio di freschezza e sapidità, struttura e persistenza da grande vino","base 2016. Grande vino, non xche è un Rose ma xche è un grande vino",,,
757,557,21/03/2024,Champagne Society - Selosse cantina,"4,5/5",rosa cerasuolo,"complesso e invitante, dalla frutta bianca alla rossa di fragolina, pasticceria","fresco e sapido, complesso e di corpo, persistente come tutti i suoi vini","per su base V0 è tutt’altro vino, equilibrato e bevibile, base 17 deg 10/23",,,
758,557,22/03/2025,l Boscheto (Modena) - Champagne Society,"4,5/5",rosa antico leggero,"agrume e frutta bianca e rossa,","fresco e sapido, grande struttura e persistenza","grande rosato, da pasto ma anche da solo",,,
759,558,10/04/2024, Champagne Society - Confine,"4-4,5/5","giallo dorato, bolla quasi assente","frutta bianca, agrume, burro, pasticceria, nota floreale, propoli, complesso","fresco e sapido, un po’ più largo di come mi sarei aspettato, bolla fine e fragrante, dritto e asciugante, minerale","bello, Avize, ha perpetuelle",,,
760,559,23/11/2022,Champagne Society Bu:r,"3,5-4/5",,,,,,,
761,559,19/10/2024,Exe Fiorano - Champagne Society,"3,5-4/5",paglierino carico,"complesso e profondo, agrume e frutta bianca, floreale, gesso, balsamico, crema pasticcera, boiserie","fresco e leggermente sapido, amaro di mandorla spiccato, ottima struttura e persistenza",tipicamente Avize ma troppo sopra le righe anche se la la fattura è ottima,,,
762,560,10/04/2024,Champagne Society - Confine,4/5,"giallo dorato,","complesso, camaleontico, agrume, frutta bianca, delicata oliva in salamoia","fresco e sapido, aroma delicato di oliva in salamoia, buona persistenza e bevibilità","bella bottiglia, interessante, non scontata",,,
763,561,23/11/2022,Champagne Society Bu:r,4/5,,,,,,,
764,561,19/10/2024,Exe Fiorano - Champagne Society,4/5,giallo dorato,"complesso, barocco, agrume, frutto giallo, gesso, pasticceria","fresco ma caldo, sapido ma dolce e amaro, indubbiamente complesso, profondo, buona di grande struttura, ottimamente persistente, caldo alcolico",,,,
765,562,10/04/2024,Champagne Society - Confine,"3-3,5/5",giallo dorato,"agrume e frutta bianca, nota di propoli, comunque complesso","sapidità media, freschezza non spiccata, più grasso, comunque lungo e di struttura",molto interessante tra gli chardonnay della serata,,,
766,563,23/11/2022,Champagne Society Bu:r,"3,5/5",,,,,,,
767,563,19/10/2024,Exe Fiorano - Champagne Society,"3,5/5",paglierino carico,"cremoso, pasticceria, e qua chiudo per l’affumicatura del tonno che annulla tutto",fresco e sapido,buono ma troppo cremoso per me,,,
768,564,10/04/2024,Champagne Society - Confine,3/5,dorato carico,"agrume, frutta rossa in una struttura di sentore di legno, evoluzione","fresco e molto sapido, citrino","nemmeno un bicchiere, forse se abbinato a piatto importante",,,
769,565,23/11/2022,Champagne Society Bu:r,"3,5/5",,,,,,,
770,565,19/10/2024,Exe Fiorano - Champagne Society,"3,5/5",giallo dorato con riflessi rossi,"buouserie, pasticceria, agrume, complesso e barocco","fresco, sapidità leggera, maraicante da mandorla, buona struttura e persistenza, gastronomico",selosse ma non mio vino,,,
771,566,07/09/2023,Selosse - Champagne Society,3/5,giallo dorato,"bella evoluzione di frutta rossa scura matura, agrume e minerale,",fresco e sapido in ottimo equilibrio con bolla vivace ma delicata. Ottima persistenza,,,,
772,567,10/04/2024,Champagne Society - Confine,"4-4,5/5",giallo dorato,"agrume, frutta rossa e pasticceria, bella complessità, crema","fresco e sapido, bella beva, più delicato dell’Ay precedente, ella complessità e di grande beva","sboccato 10/2023, grande bottiglia che ha fatto molta più bottiglia",,,
773,568,10/04/2024,Champagne Society - Confine,3/5,giallo dorato carico,"frutta rossa, agrume pompelmo, fiore scuro","fresco e sapido, amaricante",un bicchiere,,,
774,569,23/11/2022, Champagne Society Bu:r,"3,5-4/5",,,,,,,
775,569,19/10/2024,Exe Fiorano - Champagne Society,"3,5-4/5",giallo dorato,frutta rossa e polvere da sparo,"complesso, fresco e leggermente sapido, persiste amaro di mandorla, ottima struttura e lungo",probabilmente il suo miglio Pinot Nero,,,
776,570,10/04/2024,Champagne Society - Confine,3/5,dorato carico,"flebile, agrume, frutta rossa leggera","fresco e sapido, , lungo, di struttura",un bicchiere,,,
777,571,23/11/2022,Champagne Society Bu:r,"3,5/5",,,,,,,
778,571,19/10/2024,Exe Fiorano - Champagne Society,"3,5/5",dorato,"esce prima la pasticceria e la crema pasticcera, delicata frutta rossa, complesso e profondo",(ho troppo pepe in bocca) fresco e sapido,buona ma non mi entusiasma,,,
779,572,07/09/2023,Selosse - Champagne Society,"3,5-4/5",giallo dorato,"frutta rossa in marmellata di frutti di bosco, agrume e pasticceria",fresco e sapido in perfetto equilibrio bolla bella viva ma elegante,annata base 2016,,,
780,573,12/10/2022,bu:r Champagne Society,"3,5-4/5",,,,,,,
781,573,16/10/2022,Champagne Society - Osteria del Viandante,"3,5-4/5",,,,,,,
782,573,23/11/2022,Champagne Society Bu:r,"3,5-4/5",,,,,,,
783,574,28/06/2023,Champagne Society - Bu:r,"2,5-3/5",,,,,,,
784,575,09/09/2023,La Garde Sampetre - Champagne Society,3/5,"giallo paglierino, bolla fine",frutta bianca e rossa con agrume ma un po’ più chiuso con pasticceria che piano piano esce,"fresco e sapido, salato da Aube, bella struttura e persistenza",bella bottiglia anche se meglio in bocca che al naso,,,
785,576,05/03/2025,Chi C'è C'è - Champagne Society,"4-4,5/5",paglierino con riflessi dorati,"se si può dire è grasso al naso, frutta bianca e agrume tra mandarino e arancio, leggero croissant","fresco e sapido (ma non da Aube), bella struttura e persistenza",quanto è bravo,,,
786,577,18/12/2022,Chamapagne Society Rubiera,"3,5/5",,,,,,,
787,578,26/07/2023,Ristorante Cavallino Maranello - Champagne Society,"3,5-4/5",paglierino carico,"Frutto rosso e agrume, pasticceria e burro","fresco e sapido, complesso nella retrò olfattiva","meravigliosa complessità equilibrata tra olfatto e palato, di grande bevibilità",,,
788,579,07/09/2023,Jean Velut - Champagne Society,4/5,"paglierino, bolla nobile","agrume, frutta bianca, delicata pietra focaia e poi entra la pasticceria","fresco e sapido in ottimo equilibrio, bolla elefante ma fragrante","vino di grande equilibrio e classe, di bellissima beva e di grande persistenza. Una bottiglia da poter avere sempre a disposizione. Bevuto in magnum e nella vigna da cui viene prodotto e questo conta 😉",,,
789,580,19/11/2024,Champagne Society,"4-4,5/5",giallo paglierino,"frutta bianca e agrume, gesso, pasticceria","fresco e bello sapido, ottima struttura e persistenza, grandiosa bevibilità","a me piace il produttore e tutti i suoi vini, da bere in ogni occasione",,,
790,581,31/05/2023,Champagne Society - Langosteria Bistrot,3/5,rosato cipolla,"frutta rossa di bosco, agrume, pasticceria","fresco, amaricante di mandorla, agrume me pompelmo e sanguinella",,,,
791,582,15/12/2024,L'Imbuto - Lucca,4/5,ambrato,"matura complessità, dai profumi di frutta tropicale, ciliegia, scorza di arancia e erbette aromatiche","morbido e fine, di rara acidità, spinta salina","antico metodo di vinificazione, bottiglia di ottima qualità",,,
792,583,27/04/2022,Champagne Society (Rubiera),"4,5/5",,,,,,,
793,583,19/09/2023,Erba Luigia - Pisa,"4,5/5",,"profonda complessità, frutta gialla matura e spezia. Pasticceria","fresco e sapido, di meravigliosa complessità, grande struttura e persistenza","meraviglioso, da meditazione ma anche gastronomico per grandi piatti",,,
794,584,15/10/2023,Rubiera - Champagne Society,"3,5/5",giallo dorato con riflessi rossi da Meunier,"complesso, agrume, frutta bianca, fume, pasticceria,","fresco e sapido, persistente,","bella bottiglia,",,,
795,585,10/04/2025,L'Assiette Champenoise - Reims,4/5,aranciato antico,"fruttato Rossi freschi e agrume, delicata mineralita","fresco e sapido, vivace con equilibrio perfetto tra acidità e struttura, persistenza","al naso non dici rosè, anomalo ma coinvolgente",,,
796,586,04/06/2022,Champagne Society,"3,5-4/5",,,,,,,
797,586,20/05/2023,Tour Champagne Society - La Caserne Chanzy,"3,5-4/5",,cremoso e si conferma anche al primo assaggio,molto fresco e sapido,,,,
798,586,06/09/2023,Le Soufflot de Mairsault - Champagne Society,"3,5-4/5","giallo dorato, bolla elegante e ben presente","agrume, frutto giallo di pesca, note evolutive di smalto particolarmente delicata, pasticceria e cremosità","fresco e sapido, di ottima struttura e persistenza, cremoso","ottima bottiglia, di grande bevibilità,",,,
799,586,17/23/2023,Champagne Society - Rubiera,"3,5-4/5",giallo paglierino,"frutta rossa di ciliegia, crema e burro","fresco e sapido, cremoso anche in bocca, ottima persistenza e agrume non accentuato ma in bell’equilibrio","confermo che è tra gli champagne che più amo, ottima bevibilità, gastronomico ma anche da solo",,,
800,587,07/09/2023,Le Avises - Champagne Society,3/5,giallo paglierino e bolla elegante,"frutta bianca (pera) e agrume, leggera e delicata pietra focaia, mandorla, (biscotto)","fresco e sapido, dritto, una lama. Di corpo e persistente","caratteristico di Mesnil sur Oger, un ottimo vino di ottima beva",,,
801,588,11/10/2023,Millesimè 1990 - Milano,"3,5/5","giallo paglierino, bolla vivace","frutta gialla, agrume, poi floreale, poi pasticceria","fresco e sapido, bolla fine e fragrante","molto buono, e grande bevibilità",,,
802,589,19/06/2024, Tommy Hilfiger Cafè - Champagne Society,"3,5-4/5",,"grasso, agrume e frutta bianca,",fresco e sapido,ottimo,,,
803,590,31/10/2024,Exe Fiorano - Champagne Society,"4,5/5",,"il mandarino, il suo marker",,grande! Bevibilità stravolgente,,,
804,591,16/10/2022,Champagne Society - Osteria del Viandante,"4-4,5/5",,,,,,,
805,591,21/03/2024,Champagne Society - Les Avizese,"4-4,5/5",giallo paglierino,"mandarino mapo, frutto bianco e giallo, crema","fresco e sapido, elegante, aroma di mandarino, punta dolce, persistente",molto buono,,,
806,592,19/03/2025,Remedy,4/5,dorato,"agrumato di mandarino (meno marcato sul mandarino), floreale, pasticceria","bellissima, fresco e sapido, agrumato,","ottimo, molto equilibrato",,,
807,593,08/09/2023,Le Wine Bar Reims - Champagne Society,"3,5/5",,"frutta bianca, agrume, erbaceo, pasticceria","fresco e sapido, di buona struttura e persistenza",bottiglia interessante,,,
808,594,11/04/2025,Le Wine Bar - Reims,4/5,paglierino,agrume di mandarino,"fresca e sapida, grande struttura e persistenza","ottima, identitaria, comunque impegnativa",,,
809,595,18/05/2023,Tour Champagne Society - Les Avizes,4/5,giallo paglierino,mandarino/mapo,mandarino,"ottimo champagne, non c’è niente di più",,,
810,595,26/07/2023,Ristorante Cavallino Maranello - Champagne Society,4/5,,"(mandarino cinese e mapo, il suo timbro stilistico) balsamico, floreale,","fresco e sapido ma con mandarino cinese e mapo in retrò olfattiva molto spiccato, minerale","interessante, bella evoluzione ma una bevibilità non spiccata, la sua complessità non mi spinge la bevuta compulsiva",,,
811,595,11/04/2025,Le Wine Bar - Reims,4/5,paglierino,agrume di mandarino,"fresca e sapida, grande struttura e persistenza","ottima, identitaria, comunque impegnativa",,,
812,596,16/10/2022,Champagne Society - Osteria del Viandante,"2,5/5",,,,,,,
813,597,17/12/2023,Champagne Society - Rubiera,3/5,riflessi dorato torri,"frutta gialla e agrume, pasticceria","fresco e sapido, non lungo",,,,
814,598,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"3,5-4/5",,"frutta bianca e agrume,","fresco e molto sapido, bella struttura e persistente, bella bevibilità, nota di leggero amaricante",,,,
815,598,05/03/2025,Chi C'è C'é - Champagne Society,"3,5-4/5",paglierino,agrume e frutta bianca,"fresco e salato, buona struttura e persistenza","buono, da aperitivo",,,
816,599,09/03/2023,Top Champagne (Bon Wei),"2,5-3/5",,,"Fresco, rotondo, cremoso, con bel frutto bianco",Una sorpresa!,,,
817,600,27/04/2022,Champagne Society (Rubiera),?/5,,,,,,,
818,601,27/04/2022, Champagne Society (Rubiera),?/5,,,,,,,
819,602,20/10/2024,Ooh Pausillo - Champagne Society,"4,5-5/5",giallo dorato con riflessi rossastri,"complesso bouquet di frutta, fiori e pasticceria","fresco, sapido, nota leggermente amaricante di grande equilibrio, ottima struttura e persistenza",veramente grande bottiglia,,,
820,603,18/07/2023,Monvinic - Barcellona,"3,5-4/5",giallo dorato,prevale frutto bianco maturo di meravigliosa evoluzione e agrume per andare poi su terziari di burro e miele con pasticceria perfettamente equilibrata,fresco e agrumato di lunga persistenza con buona ma equilibrata sapidità. Retrò olfattive di agrume e terziari,"bellissima evoluzione, propone una complessità di percezioni sia olfattive che gustative. Uno dei migliori perpetuelle (2005/18) bevuto ad oggi",,,
821,604,21/03/2024, Tour Champagne Society - Le Reccomande - Avize,"3,5/5",giallo paglierino,"frutta bianca e agrume, burro","fresco e sapido, bolla fragrante, buona persistenza e beva","buono, un Avize, dritto, salino, ti tira il sorso seguente",,,
822,605,02/06/2022, Champagne Society,"1,5/5",,,,,,,
823,606,19/05/2023,Tour Champagne Society - Le Pressoir,3/5,,"esile (a causa dello zalto?), frutta bianca, fume da ossidazione positiva, pasticceria","fresco, leggera sapidità, bolla frizzante ma non eccessiva, agrume e frutta bianca confermano olfatto, con sentire di pasticceria.",,,,
824,607,01/11/2024,Al Boschetto - Champagne Society,"3,5-4/5",giallo paglierino,"frutta bianca, gesso e pasticceria","fresco e sapido (forse una punta eccessivo), non grande struttura e buona persistenza","buono, soprattutto aperitivo,",,,
825,608,28/06/2023,Champagne Society - Bu:r,"2,5-3/5",giallo paglierino,"frutto bianco, leggera pietra focaia, floreale e balsamico","amarognolo da mandorla, fresco ma non tagliente",non mi ha entusiasmato ma comunque buono,,,
826,609,10/05/2025,Pane e Vino - Pisa,"2-2,5/5",paglierino,"frutta bianca e gialla, nessuna emozione","fresco e sapido, nota amaricante non eccessiva o sgradevole ma non ben integrata, struttura e persistenza buone",da non ordinare,,,
827,610,16/10/2022,Champagne Society - Osteria del Viandante,3/5,,,,,,,
828,611,13/06/2023,Top Missori,"3,5/5",paglierino,"evoluzione positiva, agrume da pompelmo, frutta bianca leggera ma presente pasticceria crema","fresco e amaro pompelmo, sapido con bolla fragrante",ciccio,,,
829,612,15/10/2023,Champagne Society - Rubiera,"4-4,5/5",giallo paglierino,"agrume, frutta bianca, pietra focaia, pasticceria","fresco, sapido, mandorla, bellissima persistenza","molto buono, grande complessità ma dritto, grande vino, di grandissima bevibilità",,,
830,612,25/10/2023,Confine - Champagne Society,"4-4,5/5",giallo paglierino,"agrume, frutta bianca, cremoso","fresco, sapido, fresca secca,",grande champagne,,,
831,613,13/02/2025,Remedy,4/5,,"frutta a nocciolo croccante e mela mescolati a note di fiori bianchi, mandorle sbollentate e olio di agrumi","fresco e sapido, corpo medio-pieno, profondo e concentrato, con un cuore carnoso di frutta, acidi vibranti e una mousse soffice.",da bere sempre,,,
832,614,19/10/2024,Exe Fiorano - Champagne Society,"4-4,5/5",giallo paglierino,"frutta bianca, floreale, pappa reale, leggera pasticceria","briosa, fresca e sapida, mandorla e frutta bianca in retro nasale, grande bevibilità","buono, giovane e divertente",,,
833,614,31/10/2024,Exe Fiorano - Champagne Society,"4-4,5/5",,,,"grande, meraviglioso",,,
834,614,13/11/2024,Bar Paradiso - Milano,"4-4,5/5",giallo paglierino,"bello di agrume e frutta bianca, gesso e pasticceria","fresco, sapido, bella acidità agrumosa, ottima struttura e persistenza, una lama, grandissima bevibilità","ottima, adatta a tutto",,,
835,615,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,3/5,paglierino,"nota verde, frutta bianca, agrume, pasticceria, croissant","fresco ma un po’ dolce, calore? Struttura non particolarmente giusta",buono ma non mi entusiasma,,,
836,616,06/03/2023,Wine Tip,"2,5/5",,,,"Aperitivo da Winetip, buono, quasi stuzzicante grazie al Meunier e ok con salame. Bicchiere orrendo che non lo ha valorizzato ma non è il mio champagne",,,
837,617,25/09/2024,Innocenti Evasioni - WineTip,"1,5-2/5",paglierino carico,"frutta gialla, crosta di pane, gesso, burro?","fresco, bolla scassolata, no struttura e persistenza",no,,,
838,618,18/02/2025,Winetip,3/5,paglierino,il bouquet esprime note di frutti a polpa bianca con un lieve finale citrino,freschezza e rotondità.,ok x aperitivo,,,
839,619,06/03/2023, Wine Tip,"2,5-3/5",giallo carico con riflessi dorati;,"soddisfacente con note di frutta bianca e rossa, ci piacevole nota ossidativa con il passare dei minuti",conferma e piacevole da bere,"Interessante, Uvaggio inedito di 50 Meu e 50 chard. Complesso e piacevole",,,
840,620,13/06/2023,Top Missori,2/5,Rosa cipolla tenue,Delicato floreale,minerale con leggero amaricante,,,,
841,621,02/06/2022,Champagne Society,"1,5/5",,,,,,,
842,622,17/12/2023,Champagne Society - Rubiera,"3,5/5",paglierino con riflessi dorati,"floreale ed erbaceo, agrume e frutto bianco, burro, crema chantilly","fresco e sapido, buona persistenza, piacevolmente astringente da agrume",ottima bevibilità,,,
843,623,18/12/2022,Chamapagne Society Rubiera,"1,5/5",,,,,,,
844,624,21/03/2024,Champagne Society - Les Avizese,3/5,paglierino con riflessi dorati,"frutto giallo e rosso, pasticceria","fresco e sapido, gusto di frutta gialla, corto",buono ma....,,,
845,625,13/04/2025,Sacre Bistrot - Reims,3/5,,,,,,,
846,626,12/10/2022,bu:r Champagne Society,3/5,,,,,,,
847,627,15/03/2025,Casa,4/5,"paglierino acceso, tende al dorato","delicato, complesso, elegante, frutta bianca (pera e mela), agrumi, fiori bianchi, gesso, leggera e delicata pasticceria","fresco e sapido, gesso e gusto di frutta bianca, leggera nota dolce (forse residuo zuccherino dalla fermentazione), bolla bella e delicata, ottimo equilibrio, grande struttura e persistenza","ottimo champagne, da berne continuamente, aperitivo ma anche per godersi un bellissimo tramonto estivo",,,
848,628,18/12/2022,Chamapagne Society Rubiera,2/5,,,,,,,
849,629,27/10/2023, intarget Polo,"3,5/5",dorato,"agrume e frutta rossa, pasticceria, bella complessità olfattiva","fresco e sapido (da oube),",molto buono e di buona beva,,,
850,630,27/04/2024,Lo Scoglietto,3/5,vermuttoso,frutta rossa,"fresco e sapido, troppo vinoso",buono ma un bicchiere,,,
851,631,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"3,5-4/5",,frutta bianca,"fresco e sapido da hobe veramente salato 😜, bella struttura e lunghezza",ottimo vino,,,
852,631,05/03/2025,Chi C'è C'è - Champagne Society,3/5,paglierino,"agrume da arancio a pompelmo, frutta bianca, pasticceria","fresco e salato, struttura e persistenza non significativa",non coinvolgente,,,
853,632,04/04/2023,Top Missori,3/5,,"Pinot nero, esce il frutto rosso e poi l’equilibrio dello Chard e arriva frutta bianca e agrume, bella acidità. ",bella freschezza e sapidità,,,,
854,633,03/06/2022,Champagne Society,3/5,,,,,,,
855,634,15/11/2024, Casa,"3,5-4/5",dorato,"complessità dall’agrume rosso alla frutta rossa, dal gesso alla pasticceria variegata con note burrose","fresco e sapido, buona struttura ma che si perde nel retropalato (è una 2018), lungo e ottima beva","ottimo da solo, da pasto e aperitivo",,,
856,635,14/12/2024,casa,4/5,paglierino con riflessi dorati e rossastri,"bello di frutto giallo e bianco, agrume, pasticceria e burro","fresco, sapido, belle note aromatiche più che buona struttura, bella persistenza","bello champagne, pur essendo una 18 è di struttura, ottima fattura",,,
857,636,21/03/2024,Champagne Society - Les Avizese,"4-4,5/5",paglierino con riflessi dorati,"complessità olfattiva con frutto marcato bianco e rosso, floreale, minerale e pasticceria","fresco e sapido, bolla elegantemente delicata, lungo e di ottima struttura","grande mano, una grande bottiglia",,,
858,637,06/12/2024,ZenZero,"4-4,5/5",dorato,"agrumi, e mineralità, ottima gestione del legno che conferisce potenza e complessità olfattiva ma in equilibrio","fresco e sapido, ottima struttura e persistenza con un acidità che spinge la salivazione, ottima bevibilità","veramente ottima bottiglia, un produttore che debbo approfondire",,,
859,638,04/08/2022,pizzeria ZenZero,"3,5/5",,,,,,,
860,638,31/01/2023,pizzeria ZenZero,"3,5/5",,,,,,,
861,639,28/02/2023,ZenZero,"3,5/5",,"piacevole e rispecchia classicamente la dominanza di PN, progressivamente si rappresenta piacevolissima nota evolutiva fumé.","bolla bella vivace, un po’ troppo per i miei gusti ma potrebbe essere per la giovinezza e sono curioso di riprovarlo con sboccatura più lunga, risulta comunque ottimo e conferma il naso. Di buona bevibilità, ha perfettamente accompagnato pizza e credo ottimo anche con aperitivo.",,,,
862,640,30/04/2023,Zenzero,3/5,Rosa carico,"agrume rosso, sanguinella, frutti rosso, leggera pietra focaia. Poi nel bicchiere evolve e si presenta una bella pasticceria","fresco con acidità che stimola salivazione, bolla fragrante e vivace. L’agrume rosso è ben presente con una piacevole nota amaricante. Si presenta una buona sapidità.","un buon Rosè che bene si è accompagnato al prosciutto e alla mia pizza all’anduja, meno alla pizza con tartufo nero e asparagi di Laura. Marguet si conferma comunque un attimo produttore. Il giorno dopo ancora più buona!",,,
863,641,12/10/2022,bu:r Champagne Society,"1,5-2/5",,,,,,,
864,641,19/05/2023,Tour Champagne Society - Glue Pot,"1,5-2/5",,,,,,,
865,641,08/09/2023,Sacre Burger Reims - Champagne Society,"1,5-2/5",dorato con riflessi rossi,"frutta rossa, agrume, nota di pasticceria","fresca e sapido, agrumato citrico, lungo ma non lunghissimo","si conferma un vino che non mi piace, cattivo è altro ma non è un mio vino",,,
866,642,22/03/2024,Champagne Society - The Glue Pot - Raims,"2,5/5",dorato,"agrume, frutta, fumè","fresco e sapido,","magnum, non male ma continua a non piacermi",,,
867,643,26/07/2023,Ristorante Cavallino Maranello - Champagne Society,"1,5/5",paglierino carico,"un evoluzione che non amo, ricorda una sorta di mastice",fresco e sapido ma non coinvolgente con un retrogusto amaro, non mi piace,,,
868,644,21/10/2024,MCE - Champagne Society,"3-3,5/5",paglierino caldo,complesso con frutta bianca e vaniglia i bell’equilibrio,"bolla fina ma troppo spozzichina, piatto in retropalato ma di buona struttura e",ottimo in aperitivo,,,
