ID Vino,Tipologia Vino,Tipologia Produttore,Produttore,Tipologia Agricoltura,Tipologia Vinificazione,Terroir,Disciplinare,Etichetta,Vigna_Clos_Lieu-Dit_Climat,Uvaggio,Millesimo,Dimensione Bottiglia,Dosaggio,Data Imbottigliamento,Mesi sui Lieviti,Data Sboccatura,Distributore
338,Metodo Champenoise,RM,Cossy,,,,Champagne,Cuvee Eclat,,33% Chard - 33% PN - 34% Meu,NV,"0,75",8 g/l,,36,,
339,Metodo Champenoise,RM,Cossy,,,,Champagne,Cuvee Origine,,25% Chard - 35% PN - 40% Meu,NV,"0,75",3 g/l,,84,,
340,Metodo Champenoise,RM,Cossy,,,,Champagne,Vieilles Vignes,,33% Chard - 33% PN - 34% Meu,2011,"0,75",4 g/i,,72,10/2020,
341,Metodo Champenoise,RM,Cossy,,,,Champagne,Vieilles Vignes,,33% Chard - 33% PN - 34% Meu,2013,"0,75",5 g/i,,72,,
342,Metodo Champenoise,RM,Cossy,,,,Champagne,Millesime,,33% Chard - 33% PN - 34% Meu,2004,"0,75",,,,,
343,Metodo Champenoise,RM,Cossy,,,,Champagne,Millesime,,33% Chard - 33% PN - 34% Meu,2006,"0,75",2 g/l,,,10/2021,
344,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,Quintile,,100% Chard,2012,"0,75",,,,,
345,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,Sylphe Rouge - Rosè de Saignèe,,,2018,"0,75",,,,,
346,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,Eclipsis - Blanc de Noirs,,,2018,"0,75",,,,,
347,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,C.D.B. Grand Cru Brut Nature,,100% Chard,2017,"0,75",2 g/l,04/2018,48,4/2022,
348,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,C.D.B. Grand Cru Brut Nature,,100% Chard,2018,"0,75",,,,,
349,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,C.D.B. Premier Cru,,100% Chard,2017,"0,75",,,,,
350,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,Les Mazaux,,100% Chard,2015,"0,75",,,,,
351,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,1683 Brut,,70% Chard - 30% Meu,NV,"0,75",,,,,
352,Metodo Champenoise,RM,Creté Chamberlin,,,,Champagne,1683 Origine,,70% Chard - 30% Meu,NV,"0,75",6 g/l,,,,
353,Metodo Champenoise,RM,Crucifix Pere & Fils,,,,Champagne,Epitre Act 18,,100% PN,2018,"0,75","3,5 g/l",,48,2/2023,
354,Metodo Champenoise,RM,David Leclapart,,,,Champagne,L'Amateur Blanc de Blancs,,100% Chard,NV (MnD 2018),"0,75",pas dosè,,24,6/2021,
355,Metodo Champenoise,RM,David Leclapart,,,,Champagne,L'Amateur Blanc de Blancs,,100% Chard,NV (base 20),"0,75",pas dosè,,24,3/2023,
356,Metodo Champenoise,RM,David Leclapart,,,,Champagne,L'Aphrodisiaque,,80% PN - 20% Chard ,NV (base 17),"0,75",pas dosè,,48,3/2022,
357,Metodo Champenoise,RM,Dehours & Fils,,,,Champagne,Terriscope,,100% Meu,2016,"0,75","1,1 g/l",,60,10/2022,
358,Metodo Champenoise,RM,Dehours & Fils,,,,Champagne,La Cote,,PN - Chard - Meu,NV (Perp),"0,75",0 g/l,06/2018,36,3/2021,
359,Metodo Champenoise,RM,Delavenne Pere & Fils,,,,Champagne,Nature,,60% PN - 40% Chard,NV,"0,75",pas dosè,,62,7/2021,
360,Metodo Champenoise,RM,Denis Salomon,,,,Champagne,Vitalie,,1/3 Chard - 1/3 PN - 1/3 Meu,2013,"0,75",3 g/l,03/2014,,,
361,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,3A,,50% Chard - 50% PN,NV,Mag,5 g/l,05/2016,36,6/2019,champagnedesousa.com   Sarzi Amade
362,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Mycorhize,,100% chard,2017,"0,75",3 g/l,,36,3/2021,champagnedesousa.com   Sarzi Amade
363,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Caudalies,,100% Chard,NV (base 16),"0,75",3 g/l,07/2027,48,20/2022,champagnedesousa.com   Sarzi Amade
364,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Caudalies,,100% Chard,NV (base 18),"0,75",3 g/l,07/2019,30,11/2021,champagnedesousa.com   Sarzi Amade
365,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Caudalies Millesimè,,100% Chard,2008,"0,75",3 g/l,,60,11/2014,champagnedesousa.com   Sarzi Amade
366,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Caudalies Millesimè,,100% Chard,2010,"0,75",3 g/l,07/2011,144,5/2022,champagnedesousa.com   Sarzi Amade
367,Metodo Champenoise,RM,De Sousa,Biologica,,Cotè des Blancs - Avize,Champagne,Caudalies Millesimè,,100% Chard,2012,"0,75",3 g/l,07/2013,64,12/2018,champagnedesousa.com   Sarzi Amade
368,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Les Terres Fines,,100% Chardonnay,NV (base 18),"0,75",1 g/l,06/2019,24,06/2021,Moon Import
369,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Les Terres Fines,,100% Chardonnay,NV (base 19),"0,75","1,5 g/l",05/2020,22,03/2022,Moon Import
370,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Les Terres Fines,,100% Chardonnay,NV (base 19),"0,75",1 g/l,05/2020,29,10/2022,Moon Import
371,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Les Terres Fines,,100% Chardonnay,NV (base 21),"0,75",1 g/l,08/2022,16,12/2023,Moon Import
372,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Les Norges,,100% Chard,2018,"0,75","1,5 g/l",05/2019,54,12/2023,Moon Import
373,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Cramant,,100% Chard,NV (base 21),"0,75","2,5 g/l",08/2022,22,07/2024,Moon Import
374,Metodo Champenoise,RM,Dhont-Grellet,,,,Champagne,Roc Solare,,90% Chard - 10% PN,NV (base 21),"0,75",3 g/l,07/2022,19,02/2024,Moon Import
375,Metodo Champenoise,RM,Doyard-Mahe,,,,Champagne,Hommage Jaune #1,,100% Chard,2014,"0,75",pas dosè,,,,
376,Metodo Champenoise,RM,Domaine Aurelien Lurquin,,,,Champagne,Les Forcieres,,100% PN,2019,"0,75",pas dosè,08/2020,34,06/2023,
377,Metodo Champenoise,RM,Domaine de Bichery,,,,Champagne,La Source,,50% PN - 50% Chard,2019,"0,75",pas dose,,,,
378,Metodo Champenoise,RM,Domaine de Bichery,,,,Champagne,La Source,,50% PN - 50% Chard,2020,"0,75",pas dose,,24,04/2023,
379,Metodo Champenoise,RM,Domaine de Bichery,,,,Champagne,Les Tenes Melees,,100% PN,2019,"0,75",pas dose,,,,
380,Metodo Champenoise,RM,Domaine de Bichery,,,,Champagne,Parcellaire Spontanè Blanc de Blancs,,,2019,"0,75",,,,04/2022,
381,Metodo Champenoise,RM,Domaine De Marzilly,,,,Champagne,Ullens Lot 06,,80% Meu - 20% Chard,NV,"0,75",3 g/l,03/2019,,11/2021,
382,Metodo Champenoise,RM,Domaine des Tuileries,,,,Champagne,Clos du Chateau,,100% Chard,2018,"0,75",pas dosè,,48,03/2023,
383,Metodo Champenoise,RM,Domaine Lagille,,,,Champagne,Au Fil du Temps,,54% Chard -  29% PN - 7% Meu,2012,"0,75",5 g/l,,,,
384,Metodo Champenoise,RM,Domaine Leon,,,,Champagne,La Grande Cote,,100% Chard,2019,"0,75",pas dosè,07/2020,17,12/2021,
385,Metodo Champenoise,RM,Domaine Leon,,,,Champagne,La Grande Cote,,100% Chard,2020,"0,75",pas dosè,07/2021,17,12/2022,
386,Metodo Champenoise,RM,Domaine Nowack,,,,Champagne,La Fontinette,,100% Meu,2019,"0,75",2 g/l,05/2020,32,02/2023,
387,Metodo Champenoise,RM,Domaine Rousseaux-Batteux,,,,Champagne,Verzenay Grand Cru Les Grandes Voyettes,,Chard - PN,2017,"0,75",2-3 g/l,05/2018,40,10/2021,Etica Distribuzione
388,Metodo Champenoise,RM,Domaine Vincey,,,,Champagne,Chemin de Chalons,,100% Chard,2018,"0,75",pas dosè,09/2019,36,10/2022,
389,Metodo Champenoise,RM,Domaine Vincey,,,,Champagne,Oger,,100% Chard,2018,"0,75",pas dosè,09/2019,,10/2022,
390,Metodo Champenoise,RM,Douge,,,,Champagne,Duodecim,,75% PN - 25% Chard,2016,"0,75",pas dosè,05/2017,48,06/2021,
391,Metodo Champenoise,RM,Douge,,,,Champagne,Duodecim,,75% PN - 25% Chard,2016,"0,75",pas dosè,05/2017,40,9/2020,
392,Metodo Champenoise,RM,Douge,,,,Champagne,Rose Margot,,100% PN,2016,"0,75",pas dosè,05/2017,54,12/2021,
393,Metodo Champenoise,RM,Douge,,,,Champagne,Faillet,,67% PN - 33% PB,2016,"0,75",pas dosè,05/2017,39,09/2020,
394,Metodo Champenoise,RM,Douge,,,,Champagne,Val Mentra,,100% PN,2017,"0,75",pas dosè,05/2018,39,09/2021,
395,Metodo Champenoise,RM,Doyard,,,,Champagne,Oeil de Perdix,,75% PN - 25% Chard,2018,"0,75",3 g/l,,,,
396,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Le Premices,,33% Chard - 33% PN - 34% Meu,NV,"0,75",1 g/l,,38,09/2021,Moon Import
397,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Le Premices,,33% Chard - 33% PN - 34% Meu,NV,"0,75",1 g/l,,41,12/2021,Moon Import
398,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Brut Grand Cru,,70% PN - 30% Chard,NV (base 14),"0,75",3 g/l,,51,10/2019,Moon Import
399,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Brut Grand Cru,,70% PN - 30% Chard,NV (base 15),"0,75",3 g/l,,48,07/2020,Moon Import
400,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Grand Cru,,70% PN - 30% Chard,NV (base 17),"0,75",2 g/l,,53,12/2022,Moon Import
401,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Grand Cru,,70% PN - 30% Chard,NV (base 17),"0,75",2 g/l,,60,01/2023,Moon Import
402,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Vignes de Bisseuil,,100% Chard,NV (base 16),"0,75",3 g/l,,48,07/2021,Moon Import
403,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Vignes de Bisseuil,,100% Chard,NV (base 17),"0,75",2 g/l,,48,07/2022,Moon Import
404,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,V.P.,,60% PN - 40% Chard,NV,"0,75",1 g/l,,87,07/2019,Moon Import
405,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,V.P.,,60% PN - 40% Chard,NV,"0,75",1 g/l,,87,10/2020,Moon Import
406,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,V.P.,,60% PN - 40% Chard,NV (base 13),"0,75",3 g/l,,84,7/2021,Moon Import
407,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Crayeres Blanc de Noirs Grand Cru,,100% PN,NV,"0,75",2 g/l,,75,10/2020,Moon Import
408,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Millesimè,,70% PN - 30% Chard,2011,"0,75",1 g/l,2012,99,10/2020,Moon Import
409,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Millesimè,,70% PN - 30% Chard,2013,"0,75",2 g/l,2014,108,12/2022,Moon Import
410,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Millesimè,,70% PN - 30% Chard,2014,"0,75",1 g/l,2015,101,12/2023,Moon Import
411,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Vignes de Vrigny,,100% Meu,NV (base 13),"0,75",1 g/l,,39,10/2017,Moon Import
412,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Vignes de Vrigny,,100% Meu,NV,"0,75",1 g/l,,39,10/2020,Moon Import
413,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Les Vignes de Vrigny,,100% Meu,NV (base 17),"0,75",1 g/l,,41,12/2021,Moon Import
414,Metodo Champenoise,RM,Egly-Ouriet,,,,Champagne,Brut Rosè Grand Cru,,65% PN - 35% Chard,NV,"0,75",4 g/l,,60,07/2020,Moon Import
415,Metodo Champenoise,RM,Elemart Robion,,,,Champagne,Petit Meslier,,100% Petit Meslier,2018,"0,75",pas dose,06/2019,52,11/2023,
416,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Le Mont Chainqueux,,PN - Meu,NV (base 18),"0,75",pas dosè,,24,03/2021,
417,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Le Mont Chainqueux,,PN - Meu,NV (base 19),"0,75",pas dosè,,24,10/2021,
418,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Le Mont Chainqueux,,PN - Meu,NV (base 20),"0,75",pas dosè,,24,12/2022,
419,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Chetillon de Haut,,100% Chard,NV (base 19),"0,75","1,5 g/l",,15,11/2021,
420,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Chetillon de Haut,,100% Chard,NV (base 20),"0,75",,,15,12/2022,
421,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Le Coullemets,,100% Chard,2019,"0,75",pas dosè,,28,12/2022,
422,Metodo Champenoise,RM,Elise Bougy,,,,Champagne,Le Coullemets,,100% Chard,2021,"0,75",pas dosè,,15,12/2023,
423,Metodo Champenoise,RM,Elise Dechannes,,,,Champagne,Essentielle Blanc de Noirs,,,2019,"0,75",,09/2020,28,01/2022,
424,Metodo Champenoise,RM,Emilien Feneuil,,,,Champagne,Cuvee Mix,,Chard - Petit Meslier,2018,"0,75",,,36,11/2021,
425,Metodo Champenoise,RM,Emilien Feneuil,,,,Champagne,Les Ruisseaux,,100% Meu,2018,"0,75",pas dosè,,36,11/2021,
426,Metodo Champenoise,RM,Emilien Feneuil,,,,Champagne,Les Puits Rosèe de maceration,,100% PN,2018,"0,75",,,30,5/2021,
427,Metodo Champenoise,RM,Emilien Feneuil,,,,Champagne,Les Goulats Rosèe de Maceration,,100% PN,2018,"0,75",,,30,5/2021,
428,Metodo Champenoise,RM,Emmanuel Boucant,,,,Champagne,Pure Meunier,,100% Meu,?,"0,75",?,?,?,?,
429,Metodo Champenoise,RM,Emmanuel Boucant,,,,Champagne,Rosè de Saignèe,,?,2013,"0,75",?,?,?,?,
430,Metodo Champenoise,NM,Emmanuel Brochet,,,,Champagne,Extra Brut Premier Cru,,Meu - PN - Chard,NV (base 20),"0,75",,,,,
431,Metodo Champenoise,NM,Emmanuel Brochet,,,,Champagne,Le Mont Benoit ,,40% PN - 35% Meu - 25% Chad,NV (base18),"0,75",pas dosè,,24,2021,
432,Metodo Champenoise,NM,Emmanuel Brochet,,,,Champagne,Le Mont Benoit ,,40% PN - 35% Meu - 25% Chad,NV (base 21),"0,75",,,,2024,
433,Metodo Champenoise,RM,Eric Rodez,,,,Champagne,Blanc de Noirs - Ambonnay,,100% PN,NV,"0,75",,,,10/2023,Vite
434,Metodo Champenoise,RM,Eric Taillet ,,,,Champagne,Exlusive T,,100% Meu,NV,"0,75","4,5 g/l",,24,09/2021,
435,Metodo Champenoise,RM,Eric Taillet ,,,,Champagne,Le Bois de Binson,,100% Meu,NV (2014/16),"0,75","1,5 g/l",,40,10/2020,
436,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,L'Echappèe Belle,,100% Chard,NV (base 19),"0,75",3 g/l,,24,07/2021,Maurizio Cavalli
437,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Les Rocheforts,,100% Chard,NV (base 19),"0,75",2 g/l,,,09/2021,Maurizio Cavalli
438,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Les Rocheforts,,100% Chard,NV,"0,75",2 g/l,,,06/2023,Maurizio Cavalli
439,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Les Revenants,,100% Petit Meslier,NV,"0,75",,,,,Maurizio Cavalli
440,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Les Revenants,,Pinot Blanc - Petit Meslier - Arban,NV,"0,75",2 g/l,,,02/2024,Maurizio Cavalli
441,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Comete,,100% Petit Meslier,NV,"0,75",,,,,Maurizio Cavalli
442,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Val L'Ermite,,100% PN,NV,"0,75",,,,,Maurizio Cavalli
443,Metodo Champenoise,RM,Etienne Calsac,,,Cotè des Blancs - Avize,Champagne,Rosè de Craie,,92% Chard - 8% PN,NV,"0,75",,,,,Maurizio Cavalli
444,Metodo Champenoise,RM,Fabien Bergeronneau,,,,Champagne,Les Vignes de Trigny,,50% PN - 50% Meu,NV,"0,75",,,,2023,
445,Metodo Champenoise,RM,Fallet-Crouzet,,,Cotè des Blancs - Avize,Champagne,Blanc de Blancs Grand Cru a Avize,,100% Chard,NV,"0,75",pas dosè,,,,
446,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Sauvage,,100% Meu,NV (2015/16/17),"0,75",pas dosè,,48,07/2021,Le Bollicine
447,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Sauvage,,100% Meu,NV (2015/16/17),"0,75",pas dosè,,36,11/2021,Le Bollicine
448,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Sauvage,,100% Meu,NV (2017/18/19),"0,75",pas dosè,,36,09/2023,Le Bollicine
449,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Fauve,,75% Chard - 25% meu,2014,"0,75",pas dosè,,72,07/2021,Le Bollicine
450,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Fauve,,75% Chard - 25% meu,2015,"0,75",pas dosè,,72,07/2022,Le Bollicine
451,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Fauve,,75% Chard - 25% meu,2016,"0,75",pas dose,,72,02/2023,Le Bollicine
452,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,S.A. Autre Cru,,60% Meu - 40% Chard,NV (base 19),"0,75",0 g/l,,24,02/2022,Le Bollicine
453,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,S.A. Autre Cru,,60% Meu - 40% Chard,NV (base 19),"0,75",1 g/l,,36,02/2023,Le Bollicine
454,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Semper Fidelis XV,,100% Meunier,NV (perp 92-15),"0,75",5 g/l,,72,03/2022,Le Bollicine
455,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Semper Fidelis XV,,100% Meunier,NV (perp 92-16) ,"0,75",5 g/l,,72,02/2023,Le Bollicine
456,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Meunier Perpetuel,,100% Meu,NV (perp 92-19),"0,75",5 g/l,,24,11/2021,Le Bollicine
457,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Meunier Perpetuel,,100% Meu,NV (perp 92-19),"0,75",5 g/l,,28,8/2022,Le Bollicine
458,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Meunier Perpetuel,,100% Meu,NV (perp 92-18),"0,75",5 g/l,,72,11/2022,Le Bollicine
459,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,La Tuilerie,,100% Meu,NV (base 18),"0,75",pas dosè,,36,03/2022,Le Bollicine
460,Metodo Champenoise,RM,Famille Delouvin / Delouvin-Nowack,,,Vallèe de la Marne - Vandieres,Champagne,Arpent Rouge,,100% Chard,2017,"0,75",pas dosè,,36,03/2021,Le Bollicine
461,Metodo Champenoise,RM,Fernand Hutasse et Fils,,,,Champagne,Vintage ,,50% Chard - 50% PN,2006,"0,75",5 g/l,,132,2018,
462,Metodo Champenoise,RM,Fernand Thill,,,,Champagne,Blanc de Blancs,,100% Chard,,,,,,11/2022,
463,Metodo Champenoise,RM,Fleury,,,,Champagne,Notes Blanches,,100% Pinot Blanc,2015,"0,75",0 g/l,10/2016,68,06/2022,Teatro del VIno
464,Metodo Champenoise,RM,Follet-Ramillon,,,,Champagne,Solera,,67% Meu - 23% Chard - 10% PN,NV (base 20),"0,75",4 g/l,05/2021,24,11/2023,
465,Metodo Champenoise,RM,Francis Boulard,,,,Champagne,Petrea XCVII-MMVII,,,NV (base 07),"0,75",pas dose,10/2008,48,03/2012,
466,Metodo Champenoise,RM,Franck Bonville,,,,Champagne,Pur Avize,,100% Chard,2015,"0,75","6,7 g/l",04/2016,68,12/2021,
467,Metodo Champenoise,RM,Franck Pascal,,,,Champagne,Harmonie,,100% Meu,2014,"0,75","1,3 g/l",,96,06/2023,Moon Import
468,Metodo Champenoise,RM,Franck Pascal,,,,Champagne,Serinitè,,75% Meu - 25% Chard,2013,"0,75",pas dosè,,120,03/2024,Moon Import
469,Metodo Champenoise,RM,Franck Pascal,,,,Champagne,Quinte Essence,,78% Meu - 20% PN - 2% Chard,2013,"0,75","1,13 g/l",,108,07/2023,Moon Import
470,Metodo Champenoise,RM,Francoise Bedel,,,,Champagne,L'Ame de la Terre,,42% PN -  36% Chard - 22% Meu,2002,"0,75",,,204,01/2021,
471,Metodo Champenoise,RM,Francois Chaumont,,,,Champagne,Blanc de Noirs,,100% PN,NV,"0,75",,,,,Le Bollicine
472,Metodo Champenoise,NM,Francois Diligent,,,,Champagne,Meunier,,100% Meu,,"0,75",,,,01/2023,bwineshop.com
473,Metodo Champenoise,NM,Francois Diligent,,,,Champagne,Pinot Blanc Vrai,,100% Pinot Blanc,NV,"0,75","0,2 g/l",,,11/2023,
474,Metodo Champenoise,RM,Frederic Savart,,,,Champagne,Le Mont Benoit,,95% PN - 5% Chard,2015,"0,75",2 g/l,,36,05/2019,
475,Metodo Champenoise,RM,Frederic Savart,,,,Champagne,L'Accomplie,,80% PN - 20% Chard,,"0,75",5 g/l,,24,01/2023,
476,Metodo Champenoise,RM,Frederic Savart,,,,Champagne,Ecueil Trepail,,100% Chard,,"0,75",2 g/l,,,12/2023,
477,Metodo Champenoise,RM,Frederic Savart,,,,Champagne,Expression Rosè,,100% PN,2012,"0,75",pas dosè,,48,01/2017,
478,Metodo Champenoise,RM,G. X. Grochet,,,,Champagne,Absolue de Blancs,,100% Chard,2016,"0,75","5,5 g/l",,60,08/2022,
479,Metodo Champenoise,RM,Gaidoz Forget,,,,Champagne,Brut Millesime,,60% PN - 40% Meu,2008,"0,75",,,84,03/2021,
480,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Rive Droit Blanc de Noirs,,60% Meu - 40% PN,NV (Base 19),"0,75",6 g/l,,25,01/2022,Les Bulles
481,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Rive Gouche,,35% PN - 35% Meu - 30% Chard,NV (base 19),"0,75",6 g/l,,25,,Les Bulles
482,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Caracteres,,80% Meu - 15% PN - 5% Chard,NV (base 15),"0,75",4 g/l,,72,09/2021,Les Bulles
483,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Caracteres,,80% Meu - 15% PN - 5% Chard,NV (base 15),"0,75",4 g/l,,74,11/2022,Les Bulles
484,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Caracteres,,80% Meu - 15% PN - 5% Chard,NV (base 16),"0,75",4 g/l,,60,11/2022,Les Bulles
485,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Rosè,,60% Meu - 40% PN,NV (base 19),"0,75",6 g/l,,25,,Les Bulles
486,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Rosè de Saignèe,,100% Meu,NV (base 16),"0,75",7 g/l,,52,09/2021,Les Bulles
487,Metodo Champenoise,RM,Gamet,,,Vallèe de la Marne - Mardeuil,Champagne,Rosè de Saignèe,,100% Meu,NV (base 16),"0,75",7 g/l,,57,03/2022,Les Bulles
488,Metodo Champenoise,RM,Gaspard Brochet,,,,Champagne,333.c,,PN - Chard - Meu,NV (2017/18/19),"0,75",,,36,,
489,Metodo Champenoise,RM,Gaston Chiquet,,,,Champagne,Blanc de Blancs d'Ay,,100% Chard,2013,"0,75",,,96,10/2022,
490,Metodo Champenoise,RM,Gaston Chiquet,,,,Champagne,Blanc de Blancs d'Ay,,100% Chard,2013,"0,75",,,100,1/2023,
491,Metodo Champenoise,RM,Geoffroy,,,,Champagne,Empreinte (A Sacha n.2),,100% PN,2015,"0,75",1 g/l,07/2016,72,03/2022,Compagnia del vino
492,Metodo Champenoise,RM,Georges Fleury,,,,Champagne,L'Extra,,Chard - PN - Meu,2020,"0,75",4 g/l,,24,07/2023,
493,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Cumieres,,34% PN - 33% Chard - 33% Meu,2012,"0,75",pas dosè,,36,09/2016,Moon Import
494,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Cumieres,,34% PN - 33% Chard - 33% Meu,2018,"0,75",pas dosè,,36,11/2022,Moon Import
495,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Cumieres,,34% PN - 33% Chard - 33% Meu,2019 n.d.,"0,75",pas dosè,,24,06/2021,Moon Import
496,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Garennes,,5% PN - 5% Chard - 90% Meu,NV (base 19),"0,75",,,24,07/2021,Moon Import
497,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Garennes,,5% PN - 5% Chard - 90% Meu,NV (base 20),"0,75",1 g/l,,24,07/2022,Moon Import
498,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Garennes,,5% PN - 5% Chard - 90% Meu,NV (base 22),"0,75",1 g/l,,24,06/2024,Moon Import
499,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Les Hautes Chevres,,100% Meu,2015,"0,75",pas dosè,,,,Moon Import
500,Metodo Champenoise,RM,Georges Laval,,,,Champagne,Les Hautes Chevres,,100% Meu,2018,"0,75",pas dosè,,48,04/2023,Moon Import
501,Metodo Champenoise,RM,Georges Remy,,,,Champagne,Les Quatre Terroirs N.18,,82% PN - 18% Chard,NV (base 18),"0,75",1 g/l,07/2019,30,12/2021,
502,Metodo Champenoise,RM,Girard - Bonnet,,,,Champagne,A mi-chemin Grand Cru,,100% Chard,NV (2018/19),"0,75",2 g/l,,24,12/2021,
